title,description
HP CB337W Tricolor Ink Cartridge - NEW,New in sealed package as shown.
Keyboard-Model A025 KFRMB2 Series Dell Latitude D600 replacement oem,Call or text show contact info
50-7B103-001-R - Dell 6Ft Black DVI-D Cable and VGA Cable,Call or text show contact info
surface book AC adapter,Text show contact info
laptop bag,Call or text show contact info
Gigabyte Aorus Master RTX 5070ti 16GB New,"Gigabyte Aorus Master Nvidia RTX 5070ti 16GB $999 Please do not send offers, we will not take them. This is being sold for amazon list price there is no markup! Features: 16GB Video Ram Price is for the video card new in box Wired Light Up Keyboard and Mice Start at $30 (new) Mechanical Keyboard and Mouse Sets $40 24"" 144hz 1080p displays only $125!!!! 34"" Curved 3440x1440 165hz Gaming Monitors $250 Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
"Fellowes 50 3.5"" Tray Holder Old Maplinx Software 30ish Unused HD Disk",Fellowes 50 3.5 diskette tray (no key) along with old Windows Maplinx software and what looks to be about 30 HD 3.5 diskettes. There was a note if front of most of them that read unused. Good Shape for all. $15 for all. I'm in West Irondequoit. Call or text show contact info or use Craigslist mail.
Linksys SE1500,"5 port Ethernet hub. Complete with power supply, instructions and box. Like new"
NIB - KVM Switch 8K HDMI / USB 3.0 - 2 computers / 2 monitors,"New in Box. 8K HDMI / USB 3.0 KVM Switch 2 Monitors 2 Computers. Received 2, only need 1. See photos for specs. I currently use the exact same one and it works great."
"Mac Pro A1481 SSD 256 Gb, Late 2013 Original Apple - Monterey","Original Apple SSD pulled from a Apple Mac Pro model A1481. Comes as shown with a fresh install of Mac OS Monterey which has had the latest updates installed. This is 256Gb, Samsung drive produced for Apple, number 655-1858B."
"2.5"" SATA hard drives","Lot of 6 various 2.5"" SATA hard drives. All used, working drives formatted Mac OS extended, but you can format them any way you like. Included are the following: 1 - 40Gb Hitachi (has Mac OS Lion installed) 2 - 160Gb Hitachi (Apple Branded) 1 - 250Gb Seagate 1 - 320Gb Toshiba 1 - 500Gb Toshiba (Apple Branded)"
"Mac Pro A1481 SSD 512 Gb, Late 2013 Apple OEM - Monterey","Original Apple SSD pulled from a Apple Mac Pro model A1481. Comes as shown with attached heatsink and a fresh install of Mac OS Monterey which has had the latest updates installed. This is 512Gb, Samsung drive produced for Apple, number 655-1805B."
"Lot of 6 - 2.5"" SATA drives - 40Gb-500Gb","Lot of 6 various 2.5"" SATA hard drives. All used, working drives formatted Mac OS extended, but you can format them any way you like. Included are the following: 1 - 40Gb Hitachi (has Mac OS Lion installed) 2 - 160Gb Hitachi (Apple Branded) 1 - 250Gb Seagate 1 - 320Gb Toshiba 1 - 500Gb Toshiba (Apple Branded)"
Corsair 5000D AIRFLOW Tempered Glass White Mid-Tower ATX PC Case,"Used 5000D computer case. Comes with manual, original accessories such as HDD trays and shields/covers, extra retaining clips, original 2x120mm corsair fans. Also comes with 6 extra 140mm fractal design fans."
Miscellaneous items,This great items I don’t need anymore 1.Printer is in perfect condition New black n white cartridge . This printer has everything you need for a small business including faxing and copy setting $50. Richard 232-2021 Make a offer
Geforce RTX 2060 Super,"Used, still preforms like new."
Seasonic Focus GX-1000 Watts Power Supply,"Excellent condition like new, barely used. Comes with everything included in original box. If interested or have any questions email or text."
Deepcool Castle 360EX Addressable RGB AIO Liquid CPU Cooler,"Great condition, fans have not been used because I switched them out when I purchased this cooler for other fans. Everything included with original box. If interested or have any questions email or text."
G.Skill TridentZ Neo DDR4 3600 CL14 32gb Dual Channel Ram,Excellent condition and performance. If interested or have any questions email or text.
"Acer Predator X34 1900R Curved 34"" UltraWide QHD Monitor","3440 x 1440 Gaming Monitor | NVIDIA G-SYNC | Agile Splendor IPS | Up to 180Hz | DCI-P3 98% | DisplayHDR 400 | 2 x DP, 2 x HDMI, USB Type-C. Excellent condition works amazingly. If interested email, text, or message. Serious inquiries only and no delivery."
TP-Link Archer AX55 wifi 6 router and RE715X signal booster,Both purchased in 2023 for over $200 together. Both work perfectly. Way too many specs so here are the Amazon links Router: https://a.co/d/cVhq8PN Range Extender: https://a.co/d/j6drIed
New 6ft. DVI Cable $5,"New 6ft. DVI Cable, Single Link, 18-Pin M-M DVI-D - NEW .. selling them for $5 bucks each"
PC / Gaming Computer Keyboards & Mouse Mice (USB & PS/2) Microsoft,"I have MANY USB and PS/2 computer keyboards (and mice) available for sale. Microsoft comfort curve keyboards, fancy backlit gaming keyboards... etc. Just tell me what you need and I will tell you if I have it and the price for it. (I have more than whats shown in the pics.) The average price is probably around $10 per quality/ergonomic keyboard and $4 per standard mouse. Price varies somewhat depending on model/brand. Razer Lachesis for $20 (minor drifting issue) Razer Spectre for $25 (it has very sensitive right mouse button) Mionix naos 5000 in box: $20 Steelseries Merc Stealth keyboard: $138 Must pick up from Gates. Contact me via email."
"LCD PC Computer Monitors 17"" (16:10)","Seem to be working fine. You can test before buying. I have HDMI to VGA/DVI adapter cable for extra cost. Compaq W17q 17"" LCD PC Monitor: $15 1440 x 900 (16:10 Aspect Ratio) VGA input Acer x173w 17"" LCD PC Monitor: $15 1440 x 900 (16:10 Aspect Ratio) VGA input Pick up from Gates."
Ergotron Stand-sit single monitor desk mount adjustable workstation,"NEW old stock: Ergotron 24-259-026 WorkFit-A Single LD (light duty) Monitor Sit-Stand Workstation. Adjustable Arm Desktop Monitor Stand + Keyboard Tray Home or Office Workstation. Holds up to a 24"" monitor. 4 available."
Targus CUN1 Laptop Bag Fits Up To Two 13.3” Laptops,Great Condition. No imperfections that I can see.
Xircom 170-0460-003 B 10/100 Base-TX NEW (3 available),This listing is for ONE of the three identical items shown in the main photo. There are a total of three available as of the posting date of this listing. Buy all three for $5.
Targus Leather Laptop computer case,Selling a leather Targus laptop computer case
"routers, TP-link, netgear, D-link. Sell all for $50","routers, TP-link, netgear, D-link. Sell all for $75"
Plextor IDE CD Reader/Writer (2),Plextor IDE CD Reader/Writer (2) For a PC. Plexwriter PX-W4824TA Brand new 48/24/48U See Pictures. Local pickup only. $20.00 for both
"Lightly Used ViewSonic VX2728J-2K 27"" Gaming Monitor","Lightly used 27"" gaming computer monitor. Monitor, stand, and power cord included. No box. Cash, Venmo, or Paypal only. No deliveries. Viewable Area (in.): 27 Panel Type: IPS Technology Resolution: 2560 x 1440 Resolution Type: QHD (Quad HD) Curvature: Flat Refresh Rate (Hz): 180 3.5mm Audio Out: 1 HDMI 2.0: 2 DisplayPort: 1 Power in: DC Socket (Center Positive) Additional specs: https://www.viewsonic.com/global/products/lcd/VX2728J-2K#specs"
"Brand New ViewSonic VX2728J-2K 27"" Gaming Monitor","Brand New, Unopened gaming computer monitor. Cash, Venmo, or PayPal only. No deliveries. Viewable Area (in.): 27 Panel Type: IPS Technology Resolution: 2560 x 1440 Resolution Type: QHD (Quad HD) Curvature: Flat Refresh Rate (Hz): 180 3.5mm Audio Out: 1 HDMI 2.0: 2 DisplayPort: 1 Power in: DC Socket (Center Positive) Additional specs: https://www.viewsonic.com/global/products/lcd/VX2728J-2K#specs"
