title,description
Dell Coffee Lake Quad Core Touch Screen Laptop,"Dell Coffee Lake Quad Core Touch Screen Laptops $125 Please do not send offers, we will not take them. We have 2 of these in stock Features: Intel Core i5 8350u Quad Core CPU 8GB Ram (expandable) 256GB SSD (expandable) Wifi BT 14"" 1080p 60hz Display Windows 11 Pro Price is for the laptop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) 24"" 144hz 1080p displays only $125!!!! 32"" QHD 165Hz Monitors $225 (used) $250 (new) Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
"Microsoft Surface 10"" Touch Screen Tablet PC Windows 10","Microsoft Surface 10"" Touch Screen Tablet PC Win 10 $75 Please do not send offers, we will not take them. Great cheap laptop for school or basic use Features: Intel Core i5 3317u 4GB Ram 120GB SSD Wifi BT 10"" Touch Screen Windows 10 Pro Price is for the laptop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) 24"" 144hz 1080p displays only $125!!!! 32"" QHD 165Hz Monitors $225 (used) $250 (new) Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
Apple iMac 5k Intel Quad Core All in One Desktop Mac OS Sequoia,"Apple iMac 27"" 5k Intel Quad Core All in One Desktop Mac OS Sequoia $299 Please do not send offers, we will not take them. No one beats our prices! We have 13 of these in stock Features: 2017 Model Series Intel 3.4Ghz Quad Core i5 Processor 16GB Ram 256GB SSD AMD RX 570 4GB Dedicated Graphics Wifi BT 27"" 5k Display Mac OS Sequoia installed Price is for the desktop and power cord only (we have keyboards available at additional cost if needed, but any usb or bluetooth keyboard and mice will work) Wired Light Up Keyboard and Mice Start at $30 (new) 24"" 144hz 1080p displays only $125!!!! 32"" QHD 165Hz Monitors $225 (used) $250 (new) Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
"Apple Macbook Pro Core i9 8 Core Laptop 16"" Mac OS Sequoia","Apple MacBook Pro Core i9 8 Core Laptop 16"" Mac OS Sequoia $550 No one beats our prices Please do not send offers This unit has a new battery Features: 2019 Model Series Core i9 2.3Ghz 8 Core CPU 16GB Ram 1TB SSD AMD RX 5500m 4GB Dedicated Graphics 16"" Retina Display Touchbar with Touch ID Wifi BT Mac OS Sequoia Price is for the laptop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) Mechanical Keyboard and Mouse Sets $40 24"" 144hz 1080p displays only $125!!!! 34"" Curved 3440x1440 165hz Gaming Monitors $250 Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
Apple iMac Core i7 4k Display Mac OS Sequoia,"Apple iMac Core i7 4k Display Mac OS Sequoia $199 Please do not send offers, we will not take them. No one beats our prices! Features: Intel Core i7 2.3Ghz Quad Core CPU 16gb ram 256GB SSD 21.5"" 4k Display wifi BT Mac OS Sequoia OS Price is for the Desktop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) 24"" 144hz 1080p displays only $125!!!! 32"" QHD 165Hz Monitors $225 (used) $250 (new) Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
AMD Ryzen 5 Hexacore Budget Gaming PC,"AMD Ryzen 5 Hexacore Budget Gaming PC $399 No one beats our prices Please do not send offers, we will not take them. This pc is themed (see photos) Features: AMD Ryzen 5 3600 Liquid Cooled Hexacore CPU 240 Rad Liquid Cooler 8GB DDR4 RGB Ram 500GB Nvme SSD 500GB HD 1TB HD Nvidia GTX 1650 4GB Dedicated Graphics Hyte Glass case with rgb fans Windows 11 Price is for the desktop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) Mechanical Keyboard and Mouse Sets $40 24"" 144hz 1080p displays only $125!!!! 34"" Curved 3440x1440 165hz Gaming Monitors $250 Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
Apple Mac Mini M1 8 Core Mac OS Sequoia,"Apple Mac mini M1 $299 Please do not send offers, we will not take them. No one beats our prices! Features: M1 8 Core CPU 8gb ram 256GB SSD wifi BT Mac OS Sequoia OS Price is for the Desktop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) 24"" 144hz 1080p displays only $125!!!! 32"" QHD 165Hz Monitors $225 (used) $250 (new) Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
Mini ITX Gaming PC AM5 Nvidia RTX 4070 Super 12GB 4TB SSD,"AMD Ryzen 5 Mini ITX Gaming PC Nvidia RTX 4070 Super 12GB $1499 Please do not send offers, we will not take them. No one beats our prices! This pc is vr ready Great small computer with a handle! Features: AMD Ryzen 5 7600X Hexacore CPU 32GB DDR5 Ram 4TB NVME Gen 4 SSD Nvidia RTX 4070 Super 12GB Dedicated Graphics Wifi 850w Gold Rated SFF Power Supply Windows 11 Price is for the Desktop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) 24"" 144hz 1080p displays only $125!!!! 32"" QHD 165Hz Monitors $225 (used) $250 (new) Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
"Apple Macbook Pro Touchbar 16"" Core i9 64GB 1TB SSD AMD RX 5500m 8GB","Apple MacBook Pro Retina Touchbar 16"" Core i9 64GB Mac OS Sequoia $650 No one beats our prices Please do not send offers, we will not take them. This unit has a small dent in one corner, price reflective of condition. Features: 2019 Model Series Core i9 2.4Ghz Eight Core CPU 64GB Ram 1TB SSD AMD 5500M 8GB Dedicated Graphics WIfi BT Touchbar 16"" Retina Display Mac OS Sequoia Installed Price is for the laptop and power cord only Wired Light Up Keyboard and Mice Start at $30 (new) Mechanical Keyboard and Mouse Sets $40 24"" 144hz 1080p displays only $125!!!! 34"" Curved 3440x1440 165hz Gaming Monitors $250 Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
MacBook Pro Case,MacBook Pro 14 Inch Case Cover Pro/Max. New grey plastic protector case for laptop. Silicone keyboard skin and and port cover. Screen protector well. 585.257.three.two.two.one
LG 27BK430H-B 27” monitor (2),Moving sale! Two identical display monitors. Both 27”. AMD Freesync gaming monitors. $75 each or $150 for both. More information: https://a.co/d/dD3y6fI
Apple iMac Desktop! Magic Mouse! SPECS IN PICS! NO OPERATING SYSTEM,2011 Apple iMac (A1311) Desktop! SPECS SHOWN IN PICS!!! NO OPERATING SYSTEM!!! ALL INFO WIPED CLEAN!!! INCLUDES WIRED KEYBOARD AND WIRELESS APPLE MAGIC MOUSE!!! REDUCED TO $125 VERY FIRM!!! CASH ONLY!!! WILL NOT SEPARATE!!!!
